,School Name,School Address,School Phone,affiliation
26,Sree Vidya Nikethan Res. School,Sree Sainath Nagar A. Rangampet Chandragiri M...,"0877 2236611 , 78135 08772236612",CSEB
27,Sri City Chinmaya Vidyalaya,"410N, 5th Street, Sector 3,
SriCity, Andhra ...",,CSEB
28,Akshara School,N. F. C. L. Township Kakinada...,"0884 365053 , 378696 365606",CSEB
29,Bharatiya Vidya Bhavans Residentional Public School,Namavaram...,"0883-2556134, 135, 136, 2556142",CSEB
30,Boon School,Ramanayyapeta Kakinada...,"0884 379147 , 375862",CSEB
31,Green Field School,"Vakada, Karapa ( M ), Kakinada...",0884-2379050,CSEB
32,Jawahar Navodaya Vidyalaya,Pandavula Metta Peddapuram...,"08852 41354 , 41182",CSEB
33,Kakinada Public School,Sarvodaya Nagar Valasapakala Kakinada...,0884 2350813,CSEB
34,Kendriya Vidyalaya,O. N. G. C Base Complex Lalacheruvu Rajahmund...,"0883 2447591 , 08832465733",CSEB
35,Little Woods School,"3-159/1, Apsp Camp Panasapadu...","02525 0884-2343777 , 533056",CSEB
36,Lotus International School,Buchaiah Nagar Pidimgoyya Panchayat Rajahmund...,0424 2339798,CSEB
37,Lotus National School,Suresh Nagar Kakinara...,"0493 6240214 , 0484 6520135",CSEB
38,Oakwood The Rajahmundry School,"Beejapuri Town Ship, Diwancheruvu, Rajahmundr...","0477 0883 3245577, 9347428883 , 2282736",CSEB
39,Saranya Concept School,"Door. #1, G. Vemavaram, Koringa Post, Thallar...",0884-2315267,CSEB
40,Sri Prakash Synergy School,"D. #2-8-11/d, Ramarao Peta...",08852 - 241191,CSEB
41,Subha Niketan(english Medium) School,Ramanayya Peta Surpavaram Road Kakinara Rural...,"0884 349688 , 230148",CSEB
42,Tripura Eng Medium School,Door #3-1166 Gadalamma Nagar Road Satellite C...,"0883 3290309 , 3290309",CSEB
43,Vidyanjali School,"70-18-1/1 Vidyavan Campus, New Rto Office Roa...",0884 2300218,CSEB
44,Bharatiya Vidya Bhavans Vidyashram,Collectors Bungalow Road...,07582 0863 2234802,CSEB
45,Bhashyam Blooms,"Bhashyam Blooms, Ring Road...",0863 2246015,CSEB
46,Bhavya Cements D A V School,"Tangeda Village, Dachepally Mandal, Andhra Pr...",08649 273818,CSEB
47,DR K L Prasad Public School,J. K. C College Campus Ring Road...,"0863 350392 , 228604",CSEB
48,Durga Public School,"Near Nadikude Railway Station, Dachepalli...","08649 57609 , 47204",CSEB
49,Jawahar Navodaya Vidyalaya,Maddirala...,"08647 214382 , 53045",CSEB
50,"Kendriya Vidyalaya, Bapatla","Air Force Station, Suryalanka, Bapatla, Guntu...",08643 220470,CSEB
51,"Kendriya Vidyalaya, Nallapadu","Nallapadu, Guntur, Andhra Pradesh - 522005...","0863-2596124, 2596324",CSEB
52,Natco School of Learning,"Gollamudipadu Village, Ponnur Mandal...","0591 08643 236599 , 2436125",CSEB
53,Nice,"Mynampadu Village, Kanaparthi PanchayAt & P. ...",08647-213325,CSEB
54,Sri Sadineni Chowdaraiah Residential Public School,Chilakaluripet...,"08647 254720 , 252401",CSEB
55,Sri Venkateswara Bala Kuteer,Syamala Nagar...,"0863 232405 , 358327 355498",CSEB
56,Sri Vivekananda Central School,"Viveka Nagar, Burripalem Road Tenali...",08644225470,CSEB
57,St. Annes School,Sulthanabad...,08644236180,CSEB
58,St. Josephs High School,"Opposite A. C College, Near Flyover...",08632218668,CSEB
59,Top Kid School,"Adavitakkeilapadu, Pedapalakaluru...",0863 2251697,CSEB
60,Triplaar School of Learning,Edulapalem NH-5 Near Yanamadala...,"0863 2288152 , 0863-2288155",CSEB
61,Ushodaya English Medium School,"Chowdavaram, Yedlapadu Mandal, . ( A. P. )...","9848132435, 0863-2288345",CSEB
62,West Berry School,"Nelapadu Village, Burripalem ( Post ) Burripa...","08644 239333,238444",CSEB
63,Ansari Oxford Central School,Ansari Nagar Rayachoty Road Cuddapah...,"08562 24148 , 59649",CSEB
64,Jawahar Navodaya Vidyalaya,N. R. Palle Mannoor Post Rajampet Mandal Y. S...,"08565 40359 , 40359",CSEB
65,Kendriya Vidyalaya,C. C. I. Yerraguntla District Cuddapah...,"08563 75237 , 337",CSEB
66,Kendriya Vidyalaya,"Old Rims, Cuddapah...","08562 245033 , 531",CSEB
67,Montfort School,Mamilla Palli Post Y. M. Palli ( So ) Cuddapa...,9394495510,CSEB
68,Penchalreddy High School,"Lic Colony, Madanapalli Road, Rayachoty ( P. ...",08561250084,CSEB
69,Pooja International Techno School,"Abdul Kalam Nagar Chowduru Village Proddutur,...","0891 08560 273881 , 222178",CSEB
70,Pushpagiri Residential Public School,Pushpagiri Nagar Ukkaipalli ( P. O. ) Chinnac...,"08562 41778 , 45239 01482264580",CSEB
71,Vidya Mandir English Medium High School,Sankarapuram Cuddapah...,"08562 242343 , 42903 252037",CSEB
72,Chinmaya Vidyalaya,Door #70 C/xx Near State Bank of India Adoni...,"08512 251516 , 08512253472",CSEB
73,Jawahar Navodaya Vidyalaya,Banavasi Via Yemmiganur P. O...,"08512 55596 , 55596",CSEB
74,K N R Central School,H #40/425 Eswar Nagar...,"08518 20246 , 51286",CSEB
75,Kendriya Vidyalaya,Nandyal Road B Camp Post...,"08518 76667 , 20209",CSEB
76,Nandi Academy,"Kanthi Nagar, Bommala Satram, Nandyal-518502...",08514222002,CSEB
77,Pendekanti Public School,Illuru Kothapeta P. O. Banaganapalle Mandal...,"08515 227269 , 27003 08515227970",CSEB
78,Ridge School,Lakshmipuramap...,08518230869,CSEB
79,St. Joseph's English School,41/91 Narasingaraopet...,"08518 20531 , 20531",CSEB
80,The Aditya Birla School,L & Apcw Thummalapenta Kolimigundla Tqdt...,"08558 288143 , 288356",CSEB
81,The Nandyal Public School,"Nandyal, Kurnool, Andhra Pradesh - 518501...","08514 242146, 245733, +91 9866308473",CSEB
82,Akshara Vidyalaya,"Saraswathi Nagar, Yerra Gunta, NH-05...","0484 08612163785 , 2319361",CSEB
83,Glendale Academy,Bandlaguda Jagir Rajendra Ngr Mandal R. R...,"040 24014693 , 55523980 251631",CSEB
84,Gomathy English Medium School,"Gomathy Nagar, Nellore, Andra Predesh - 52400...","0861 2319748, 2319749",CSEB
85,Infant Jesus Public School,A. K. Nagar...,"324644 , 329808",CSEB
86,Ithaka Engish Medium School,"Near Kanuparthipadu, Golagamudi Road, Nellore...","0861-6521111, 3333",CSEB
87,Jawahar Navodaya Vidyalaya,Krishnapuram Village & P. O. Marripadu Mandal...,"08620 228722 , 228725",CSEB
88,Kendriya Vidyalaya,"Rsr Municipal High School Campus, Tadikala Ba...","0861 2354211 , 09394062118",CSEB
89,Kendriya Vidyalaya,"Venkatagiri, Near Railway Station...","08625 257468 , 0984649206",CSEB
90,Little Angels Public School,Saradha Nagar Chillakur Gudur-Mandalam...,"08624 251334 , 51631 251631",CSEB
91,Padmavathi Vidyalaya,Sullurpeta...,"08623 242650 , 08623222844",CSEB
92,Rainbow School,"Dhanalakshmipuram
Activity Village, Kalivela...",0861-2315855,CSEB
93,Ratnam High School,"Ratnam High School Pidathapolur, Muthukur Man...",9248048090,CSEB
94,Ravindra Bharathi Global School,"Kanuparthipadu, Golagamudi Road, Nellore - 52...",,CSEB
95,Space Central School,Sriharikota...,"08623 225123 , 243205",CSEB
96,Jawahar Navodaya Vidyalaya,N. S. C Area Ongole...,"08592 33095 , 30236",CSEB
97,Jawahar Navodaya Vidyalaya No. 2,"Gajjalakonda ( P. O. ), Markapuram ( Via ), P...","08499 247297 , 231807",CSEB
98,Kendriya Vidyalaya,"Pvr Muncipal Boys High School Campus, Ongole...",08592 221125,CSEB
99,MJR Vidya English Medium High School,"Challareddy Palem, Vetapalem ( M ) District...",08594 232024,CSEB
100,Q.I.S.U.P School,Vengamukkapalem Ongole Mandal Parkasam...,"08592 654429 , 01242379991",CSEB
101,Sai Baba Central School,Ongole...,08592 232522,CSEB
102,Sri Saradha Nikethan Public School,Sri Saradha Nikethan Public School Martur-523...,08404 271122,CSEB
103,Akshara The School,"Akshera Road, Pathapatanam...",08946255623,CSEB
104,Carmel English School,"At/P. O. - Kallata, Mandal. Hiramandalam, Sta...",08946210266,CSEB
105,GMR Varalakshmi Dav Public School,Gmr Nagar Rajam Srikakulam-532127...,08941 252676,CSEB
106,Gnanabharati English Medium School,Dabhuri Street Ichapuramichapuram...,"08947 232130 , 232005",CSEB
107,Jawahar Navodaya Vidyalaya,Sarubujjili Lakshmi Narsupeta Vennelavalasa...,"08942 85803 , 85860",CSEB
108,Kendriya Vidyalaya,"Srikakulam Peddapadu, T. Andhra Pradesh...","08942 240111 , 08942-240084",CSEB
109,Seetha Mahalakshmi Dav Public School,"Annavaram Village, Palkonda...","08941 216502, 01482 222731 , 241465",CSEB
110,Fort City School,"100 Ft. Ring Road, Near Varun Motors, Opposit...",08922208383,CSEB
111,Jawahar Navodaya Vidyalaya,Kiltampalem...,"08966 77726 , 77744",CSEB
112,Kavirayani Public School,Opposite Engineering College Parvathipuram Ko...,08963 220642,CSEB
113,Kendriya Vidyalaya,Babametta...,"08922 229669 , 0984649206",CSEB
114,Sainik School,Korukonda...,"08922 46128 , 46101 46101",CSEB
115,SMT Godavari Devi Saraf High School,Shreeram Nagar ( Post )...,"08952 2405 , 2009",CSEB
116,The Sun School,"5-247, Town Centre Layout, 100 Ft. Ring Road,...",08922-221535,CSEB
117,The Vizag International School,"S. #382/2, Korukonda-533289...",9849071702,CSEB
118,A K R G Techno School,Nallajerla...,08818277993,CSEB
119,Abhyas The Global School,"4-155, Jp Road...",08816223445,CSEB
120,B V Bhavan's Res Public School,Pedatadepalli P. O. Tadepalligudem W. G...,"08818 284234 , 84234 283388",CSEB
121,B V Bhavans International Residential Public Science,Res. Public School Bhimavaram Bhimavaram Goda...,"08816 234506 , 32135 232135",CSEB
122,Genesis E M School,"Alamuru, Penumantra Mandal...","08819 271347, 08819 271736",CSEB
123,"J Sikile Foundation School, Senior Secondary School","Post Box #24 Royapeta Narsapur, 
West Godava...","08814- 273287, 273387",CSEB
124,Jawahar Navodaya Vidyalaya,Pedavegi ( Village & Post )...,"08812 75461 , 75316",CSEB
125,Kendriya Vidyalaya,"Eluru, Collectorate Campus, N. R. Pet, Eluru...",08812 222611,CSEB
126,Lotus High School(em),"Pedatadepalli, Tadepalligudem Mandal-534101...",08818 - 284260,CSEB
127,Sadhana Upper Primary School (em),"Bavaipalem, Nidamarru Mandal...","08818-256788, 257999",CSEB
128,Shri Somanatha Green Fields Public,School Bhogapura Via Eluru Pedavegi Mandala P...,08812 4331,CSEB
129,Sir C R Reddy Public School,"G.N.T. Road,Eluru Industrial Estate, Eluru, A...","0881 233350, 251650",CSEB
130,Swarnandhra International School,"Chinnamamidipalli, Palakol Road, Narasupupam...","08814 - 280445, 280446",CSEB
131,Vasavi Ideal Public School,Chinatadepalli...,"0499 08818 699454 , 815365",CSEB
132,Vishnu School,"Vishnupuram, Kovvada, Bhimavaram...","02642 08816 222957 , 02642-650484",CSEB
133,Westberry High School,Peda Amiram Bhimavaram Kallaap...,"9553383111,9553384111",CSEB
134,Jawahar Navodaya Vidyalaya,"P. O. Hawai, Via Hayuliang...",03788 222231,CSEB
135,Divine Word School,Post Roing Lower...,03803222836,CSEB
136,Government Higher Secondary School,Roing District...,"03803 222243 , 222243",CSEB
137,Government Higher Secondary School,"Dambuk Via-Saikhowaghat District, Dibang Vall...",,CSEB
138,Government Secondary School,"Village-Jia, Po/PS-Roing, District Lower Diwa...","09436639274 , 03803205770",CSEB
139,Government Secondary School,Parbuk Kangkong Parbuk District...,,CSEB
140,Government Secondary School,"Bijari Via-Saikhowaghat District, Dibang Vall...",,CSEB
141,Government Secondary School,Paglam P. O. - Paglam District...,,CSEB
142,Intaya Public School,"At-Ezengo, Post Roing...","05736 03803223611 , 05732227229",CSEB
143,Jawahar Navodaya Vidyalaya,Anini...,"03822 09402206552 , 09402382759",CSEB
144,Vivekananda Kendra Vidyalaya,Roing District...,0281-2366426,CSEB
145,Government Higher Secondary School,"Anini P. O. - Anini District, Dlvalley...",247,CSEB
146,Government Higher Secondary School,"Bolong Roing District, Dibang Valley...","22223 , 22222",CSEB
147,Government Secondary School,MekaP. O. Roing...,,CSEB
148,Government Secondary School,"Desali Via-Roing District, Dibang Valley...",,CSEB
149,Government Secondary School,"Koronu Via-Roing District, Dibang Valley...",,CSEB
150,Jawahar Navodaya Vidyalaya,"Roing District, Dibang Valley...",03639 22421,CSEB
151,Kendriya Vidyalaya,Roing...,,CSEB
152,Government Higher Secondary School,"Tawang District, Tawang...","205 , 237",CSEB
153,Government Secondary School,Kitpi...,"09436 056729 , 09436050549",CSEB
154,Government Secondary School,"Seru, P. O. /...","03794 222028 , 28710",CSEB
155,Government Secondary School,Mukto...,"09436229403 , 03794244708",CSEB
156,Government Secondary School,"Lhou District, Tawang...",,CSEB
157,Government Secondary School,"Jang District, Tawang...",,CSEB
158,Government Secondary School,"Bomba At & P. O. - Lenbardung District, Tawan...",,CSEB
159,Government Senior Secondary School,"Lumla District, Tawang...","205 , 237",CSEB
160,Government Town Secondary School,Tawang...,"0360 2900694 , 09436050549",CSEB
161,Jawahar Navodaya Vidyalaya,Tawang P. O. - District...,"03794 222530 , 03794-222803",CSEB
162,Kendriya Vidyalaya,Tawang...,,CSEB
163,Tawang Public School,Lemberdung P. O. - Tawang ( A. P )...,"05662 03794-222092 , 272475",CSEB
164,Government Higher Secondary School,Khonsa District...,,CSEB
165,Government Higher Secondary School,Longding Via-Khonsa...,034,CSEB
166,Government Higher Secondary School,"Kanubari District, Tirap...",,CSEB
167,Government Higher Secondary School,"Deomali District, Tirap...",5326,CSEB
168,Government Higher Secondary School,"Pongchau, Po/PS Pongchau, District Longding...",9436639274,CSEB
169,Government Secondary School,"Soha District, Tirap...",,CSEB
170,Government Secondary School,"Laju District, Tiap...",,CSEB
171,Government Secondary School,Borduria Via-Khonsa C/o Ddpi District...,,CSEB
172,Government Secondary School,Wakka...,,CSEB
173,Government Town Secondary School,"Khonsa District, Tirap...",22557,CSEB
174,Jawahar Navodaya Vidyalaya,"Khapho, Branch P. O. Tissa, Longding...","05280 22421 , 9456439240",CSEB
175,Kendriya Vidyalaya,Khonsa...,"03786 201057 , 2413243,9454418864",CSEB
176,Ramakrishna Mission School,"Narottam Nagar Via-Deomali District, Tirap...","236 , 237 262",CSEB
177,Ramakrishna Sarada Mission Girls School,"Girls School Khonsa District, Tirap...","58 , 58",CSEB
178,St. Savio School,Olingtong Village Kanubari District Longding...,03786274374,CSEB
179,Government Higher Secondary School,Jengging Via-Yingkiong...,"011 22360013 , 26801502",CSEB
180,Government Higher Secondary School,"Tuting District, Upper Siang...","37824 , 37824",CSEB
181,Government Higher Secondary School,"Likabali District, West...",,CSEB
182,Government Higher Secondary School,"Mariyang Via-Yingkiong District, Upper Siang...",,CSEB
183,Jawahar Navodaya Vidyalaya,Gepu...,"03798 233293 , 233293",CSEB
184,Kendriya Vidyalaya,Tuting...,09437221591,CSEB
185,Royal Siang Academy,Jengging...,"0326 03777222666 , 2205266",CSEB
186,Government Higher Secondary School,"Daporijo District, Upper Subansiri...","36 , 36",CSEB
187,Government Higher Secondary School,"Kodak Taliha District, Upper Subansiri...",,CSEB
188,Government Higher Secondary School,Dumporijo District...,,CSEB
189,Government Secondary School,"Muri Mugli District, Upper Subansiri...",,CSEB
190,Government Secondary School,"Ligu P. O. - Daporijo District, Upper Subansi...",,CSEB
191,Government Secondary School,"Maro Daporijo District, Upper Subansiri...",,CSEB
192,Government Secondary School,Taliha B. P. O. Taliha District...,,CSEB
193,Government Secondary School,Soppi Daparija P. O. Subawiri...,,CSEB
194,Jawahar Navodaya Vidyalaya,"Lepajaring P. O. - Daporijo District, Upper S...","05162 29 , 40231",CSEB
195,Jawahar Navodaya Vidyalaya,"Megdong, Suleansiri P. O. - Daparijo...","08499 247297 , 231807",CSEB
196,Si-donyi Public School,"P. O. Daporijo, Transport Colony...",03792-223375,CSEB
197,Vivekananda Kendra Vidyalaya,Kuporiji Via Daporijo...,"03792 23820 , 2233599",CSEB
198,Jawahar Navodaya Vidyalaya,"Adalbari, Baksa, P. O. Adalbari...","0362 4292510 , 73158",CSEB
199,Jawahar Navodaya Vidyalaya,"P. O. - Howly District, Borpeta...","03666 88312 , 03759291738",CSEB
200,Kendriya Vidyalaya,Krishna Nagar P. O. barpeta...,03665 236250,CSEB
201,Manas Valley Academy,P. O. - Simlaguri District Baska ( Btc )...,"01662 03666-261882 , 01662243374",CSEB
202,Sreeram Academy,"Chandra Nagar, Word #3, Howly Road, P. O. : P...",0366265080,CSEB
203,Delhi Public School,P. O. - Dhaligaon District...,"05662 41078 , 41471 272475",CSEB
204,Jawahar Navodaya Vidyalaya,"Kasidoba  P.O. Chiponcila, - 783380, Bongaiga...",03664-228805,CSEB
205,Jesus Mary School,"Jesus Mary School, Bhetagaon, Bijni-783390...","01668 03664284006 , 2169103",CSEB
206,Kendriya Vidyalaya,N. F. Railway Newdt...,"08418 2245 , 0984649206",CSEB
207,Little Flower School,Post Box 39...,"05880 262161 , 4925",CSEB
208,Marrys Public School,"Kabaitari, P. O. Jogighopa...",03664-272040,CSEB
209,Montfort School,Village Batabari P. O. Abhayapuri...,03664282630,CSEB
210,St Xavier's Public School,P. O. Chalantapara...,"0361 82615 , 9864028899",CSEB
211,Don Bosco School,"Tarapur, Khelma, Silchar...",0471 03842-268154,CSEB
212,Jawahar Navodaya Vidyalaya,"Pailapool P. O. - Pailapool District, Cachar...","03842 87561 , 07685200080",CSEB
213,"Kendriya Vidyalaya, Dholchera","Dholchera P.O.Jarailtola Bazar,  Cachar Assam...",03842-282849,CSEB
214,"Kendriya Vidyalaya, Kumbhirgram","Air Force Station Kumbhirgram, Cachar, Assam ...","03841-282234, 282334",CSEB
215,"Kendriya Vidyalaya, Masimpur","Silchar Kent , Masimpur  Post Office Arunacha...","03842-278521, 278590",CSEB
216,"Kendriya Vidyalaya, NIT Campus","Silchar NIT Campus
Silchar, Cachar, Assam.- ...",03842-212277,CSEB
217,"Kendriya Vidyalaya, Srikona","ONGC, Srikona,  Silchar, Cachar, Assam - 7880...","03842-254545, 254480, 03842-229022",CSEB
218,"Kendriya Vidyalaya, Tarapur","Silchar Chandmari Road Opposite T V Centre,
...",03842-245417 (O)239433,CSEB
219,Maharishi Vidyamandir,Silichar N. S. Avenue...,"0361 2472955 , 2471982",CSEB
220,Saint Capitanio School,"Kuarpar P. O. Regional Engineering College, C...","0477 22224 , 21224",CSEB
221,Vivekananda Kendra Vidyalaya,"Near Ramkrishna Petrol Pump,  Vill-Ramnagar, ...",03842-268454,CSEB
222,Jawahar Navodaya Vidyalaya,"Via-Bijni,Chirang, Assam -783390
...",03664-241992,CSEB
223,Holy Child Public School,"Bhebarghat, Mangaldai...",03713230526,CSEB
224,Jawahar Navodaya Vidyalaya,P. O. - Kalaigaon District...,"08499 85433 , 231807",CSEB
225,Kendriya Vidyalaya,Mangaldai...,"03713 230930 , 2780846",CSEB
226,Kendriya Vidyalaya,"Ward #4, Near Hanuman Rice Mill, Udalguri, Ud...","03711 225952 , 08761835957",CSEB
227,Maharishi Vidya Mandir,"P. O. Tangla, District Udalguri ( Btad ) ( As...",03870 03711-254110,CSEB
228,Mangaldai Maharishi Vidya Mandir,"Gerimari Maharishi Nagar Mangaldai, Darang...","03713 235005 , 25655044",CSEB
229,Gyanjyoti Academy,"Gogamukh, P. O. Gogamukh...",03752252406,CSEB
230,Jawahar Navodaya Vidyalaya,"No.1 Bishnupur, Dhemaji, Assam -787057 ...",03753 274 381 ext. 224915,CSEB
231,Kendriya Vidyalaya,Nhpc Subansiri Lower H. E. Project Geru Ka Mu...,03752 269209,CSEB
232,Vivekananda Kendra Vidyalaya Dhemaji,Hatigarh...,03753225169,CSEB
233,Happy Convent School,"G. T. B Road, Dhubri, Assam - 783301...",03662 230836,CSEB
234,Jawahar Navodaya Vidyalaya,"P. O. Gauri Pur, Super Market, Ward #1...",03662 281069,CSEB
235,Kendriya Vidyalaya,Panbari P. O. Alomganj Bsf Campus...,"03662 39118 , 249085",CSEB
236,Army School,C/o Hq 2 Mtn Div C/o 99 Apo...,"0374 2388864 , 2388308",CSEB
237,Assam Public School,"Near Bachelor Qr. Anandopara, Thapa Basti...",03742804662,CSEB
238,Delhi Public School,Oil India Limited P. O. Duliajam...,"0374 2802676 , 2804606",CSEB
239,ITBP Public School,Mohanbari Loar C/o 764 Asc Btn ( Am ) C/o 99 ...,"0361 82615 , 9864028899",CSEB
240,Jawahar Navodaya Vidyalaya,Doomardallong P. O. - Bamunbari District...,"03759 26594 , 03759291738",CSEB
241,Kendriya Vidyalaya,Mohanbari P. O. - Mohanbari Air Field Distric...,"0373 2382569 , 03732382019",CSEB
242,Kendriya Vidyalaya,"Near D. C.'s Office, P. O. C. R. Building...","0373 2312962 , 2319558",CSEB
243,Kendriya Vidyalaya,Dinjan Via-Panitola District...,"410 , 407",CSEB
244,Kendriya Vidyalaya,Oil India Limited Duliajan District...,"03842 81383 , 81383",CSEB
245,Kendriya Vidyalaya,Chabua Air Field District...,"03714 312 , 2124",CSEB
246,Kendriya Vidyalaya,Namrup P. O. - Parbatpur District...,"221 HFC , 319 P&T 475,225",CSEB
247,Sampoorna Kendra Vidyalaya,K. C. Gogoi Path...,"04828 03732322468 , 04828-221504",CSEB
248,Shree Agrasen Academy,Mhh School Road Jhalkpara...,"08548 03732326880 , 543373",CSEB
249,Vivekananda Kendra Vidyalaya,East Chowkidingee...,"0161 3249753 , 01741224366",CSEB
250,Vivekananda Kendra Vidyalaya,Neepco Bokuloni Diburgarh...,"0374 2825417 , 03742825417",CSEB
251,Vivekananda Kendra Vidyalaya,Baragolai District...,"08548 81 , LEDO EX 543373",CSEB
252,Vivekananda Kendra Vidyalaya Tingrai,P. O. : Duliajan...,9954029514,CSEB
253,Jawahar Navodaya Vidyalaya,"Sontila, N. C. Hills ( Iti Complex Haflong ),...",03673 217463,CSEB
254,Kendriya Vidyalaya,"S. S. B Haflong, N. C. Hills...","08418 2245 , 0984649206",CSEB
255,Vivekananda Kendra Vidyalaya (neepco),P. O. Umrangso N. C. Hills...,"021 81267 , 0121-2621116",CSEB
256,Goalpara English School,"P. O. Bhalukdubi, Tehsil-Balijana...",0361 2896418,CSEB
257,Jawahar Navodaya Vidyalaya,Dudhnoi Golpara...,"03663 292664 , 09435560421M",CSEB
258,Kendriya Vidyalaya,"Goalpara, Jts Building, Beltola, Baladmari...","03663 240256 , 27062364",CSEB
259,Sainik School,Goalpara P. O. - Rajapara District...,"0361 2071 , 2076",CSEB
260,St. Peter's National Academy,Dudhnoi ( P. O. ) Dudhnoi ( P. S )( District ...,09435721563,CSEB
261,St. Xavier's School,"Gandhi Nagar, P. O. Krishnai, Teh-Mattia...","05273 282389 , 05273292963",CSEB
262,Delhi Public School,"Numaligarh Refinery Township, Golaghat, Assam...","03776 266705, 266897",CSEB
263,Jawahar Navodaya Vidyalaya,Sensowa #2 P. O. - Chinatolly District...,"08499 86417 , 231807",CSEB
264,Kendriya Vidyalaya,Golaghat...,"03774 285572 , 0984649206",CSEB
265,Sri Satya Sai Vidiya Vihar,Thana Back Road...,"02645 221079 , 02645-220992",CSEB
266,Vivekananda Kendra Vidyalaya,Mission Road...,,CSEB
267,Jawahar Navodaya Vidyalaya,Monacherra...,"03844 23386 , 77744",CSEB
268,Kendriya Vidyalaya,Panchgram District...,"08418 BDS 114 , 0984649206",CSEB
269,Air Force School,Jorhat District...,"011 320418/ , 370 320744",CSEB
270,Army School,Jorhat Near Rowriah Mes Gate P. O. Chaliha...,"040 7940368 , 6228075",CSEB
271,Assam Rifles Public School,"Nefabari Near Civil Airport, Rowriah5...",,CSEB
272,Hemlata Handiqui Memorial Institute,"Baghchong, Lichubari, P.O, Cinnamar, Jorhat, ...",0376-2340150,CSEB
273,Holy Flower High School,"Hospital Road, Teok...",03762396786,CSEB
274,Jawahar Navodaya Vidyalaya,Purana Titabar District...,"0369 2228339 , 07685200080",CSEB
275,Kendriya Vidyalaya,"R. R. LP. O. Rrl, Sector - Civil,  Jorhat, As...","0376 2372550 , 03762372667",CSEB
276,Kendriya Vidyalaya,Jorhat Air Force Station P. O. - District...,281(AF),CSEB
277,Kendriya Vidyalaya,"Ongc Cinnamara, Po...","0376 2707568 , 2361202",CSEB
278,Maharishi Vidya Mandir,"Na-Ali, M. G. Road...","06275 2309817 , 4925",CSEB
279,Springdale High School,Club Road...,0376 2340630-2340676,CSEB
280,Vivekanand Kendra Vidyalaya,"Majuli Kamalabari, Majuli, P/o : majuli, Jorh...",+91-(0)3775 - 291894,CSEB
281,Assam Rifles School,Diphu Po...,"03671 272030 , 03671274163",CSEB
282,Aturkimi Academy,"Amalapaty, Rukasen...",03671273084,CSEB
283,Jawahar Navodaya Vidyalaya,P. O. - Diphu District...,"08966 77726 , 77744",CSEB
284,Jawahar Navodaya Vidyalaya,"Longjhap, Honkram, Baithalangso...",03662 281069,CSEB
285,Kendriya Vidyalaya,Gc Crpf Khatkhati District...,"03675 213895 , 249085",CSEB
